name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML,vivino_rating
Lindeman's Shiraz Cabernet,7999,21.331,12.5,3000,35.0
Bouchard Aine Pinot Noir Heritage du Conseiller,7999,21.331,12.5,3000,35.0
Sancrispino Syrah Merlot Bio,1390,21.385,13.0,500,34.0
Amicale,8990,21.405,14.0,3000,40.0
Colossal Reserva,2248,21.41,14.0,750,39.0
Hillside Valley Zinfandel Black Label,8998,21.424,14.0,3000,37.0
Goats do Roam Grand Reserve Red,8690,21.457,13.5,3000,35.0
Apothic Red,8698,21.477,13.5,3000,37.0
Silk & Spice Red Blend,8699,21.479,13.5,3000,36.0
Rendola Red Wine,2098,21.518,13.0,750,39.0
Vina Maipo Classic Series Cabernet Sauvignon,1949,21.656,12.0,750,34.0
Coronas Tempranillo,8790,21.704,13.5,3000,35.0
Leva Cabernet Sauvignon Merlot,2198,21.709,13.5,750,33.0
Appassimento Originale,9450,21.724,14.5,3000,
Bay Area Zinfandel,6390,21.846,13.0,2250,36.0
Lab Reserva,1148,21.867,14.0,375,36.0
Kirkland Rioja Reserva,2227,21.995,13.5,750,36.0
Inycon Appassimento Rosso Organic Private Selection,5940,22.0,13.5,2000,36.0
Periquita Reserva Red Wine,8590,22.026,13.0,3000,31.0
Viva Valentina Sangiovese,4298,22.041,13.0,1500,37.0
Tommasi Graticcio Appassionato,8299,22.131,12.5,3000,38.0
Allegro Primitivo Sangiovese Organic,8977,22.165,13.5,3000,42.0
Uncorked Cotes du Rhone Rouge Cuvee Speciale,8990,22.198,13.5,3000,37.0
African Spirit Pinotage Shiraz,8990,22.198,13.5,3000,36.0
Frontera Cabernet Sauvignon,1999,22.211,12.0,750,32.0
Make It Big True Pinot Noir VAT.47,8998,22.217,13.5,3000,35.0
Carlo Rossi California Red,3999,22.217,12.0,1500,33.0
Trapiche Reserve Malbec,4499,22.217,13.5,1500,39.0
Falling Feather Ruby Cabernet,7999,22.219,12.0,3000,35.0
Enzo Bartoli,8999,22.22,13.5,3000,40.0
Trapiche Malbec,2099,22.389,12.5,750,35.0
Alberone Grande Rosso Oak Aged,9790,22.506,14.5,3000,
The Wanted Zin Zinfandel Old Vines,2448,22.51,14.5,750,38.0
Faustino Tempranillo,8799,22.562,13.0,3000,36.0
Sancrispino Rosso,2490,22.636,11.0,1000,27.0
Barefoot Cabernet Sauvignon,2299,22.706,13.5,750,33.0
Folklore Tempranillo & Garnacha Vino Tinto,2299,22.706,13.5,750,
Barefoot Merlot,2299,22.706,13.5,750,35.0
Torres Gran Sangre de Toro Reserva,2474,22.749,14.5,750,37.0
Viva Valentina Il Classico Rosso,2398,22.838,14.0,750,38.0
Famiglia Grillo Organic Rosso,2398,22.838,14.0,750,36.0
Gabriel Meffre Saint-Vincent Cotes-du-Rhone,2227,22.841,13.0,750,36.0
Think Big Great Zinfandel,9990,22.966,14.5,3000,38.0
M. Chapoutier Belleruche Rouge,9999,22.986,14.5,3000,37.0
Torri Montepulziano d'Abruzzo,8990,23.051,13.0,3000,39.0
Tommolo Montepulciano d'Abruzzo Organic,8990,23.051,13.0,3000,33.0
Gato Negro Cabernet Sauvignon,569,23.406,13.0,187,34.0
Terre del Noce Cabernet Sauvignon,2199,23.456,12.5,750,33.0
Bouchard Aine Rouge Rubis Collection,2199,23.456,12.5,750,33.0
French Dog Merlot,2290,23.487,13.0,750,38.0
Piccini Chianti,2299,23.579,13.0,750,36.0
Marques de Nombrevilla Garnacha,2390,23.605,13.5,750,35.0
La Cova Negra Tempranillo,2390,23.605,13.5,750,33.0
Emporium Appassimento,2567,23.605,14.5,750,40.0
Tommasi Valpolicella,8499,23.608,12.0,3000,43.0
Adobe Reserva Syrah,2399,23.694,13.5,750,35.0
Adobe Reserva Carmenere,2399,23.694,13.5,750,36.0
Adobe Reserva Merlot,2399,23.694,13.5,750,36.0
Montalto Cabernet Sauvignon Nero d'Avola,2399,23.694,13.5,750,36.0
Montgras de Vine Carmenere Reserva,2399,23.694,13.5,750,37.0
Adobe Reserva Cabernet Sauvignon,2399,23.694,13.5,750,35.0
Montalto Organic Nero d'Avola,2399,23.694,13.5,750,34.0
Stemmari Cabernet Sauvignon,2399,23.694,13.5,750,36.0
B Barossa Ink Shiraz,2399,23.694,13.5,750,41.0
Adobe Reserva Pinot Noir,2399,23.694,13.5,750,35.0
Adobe Merlot Cabernet Sauvignon Syrah,4799,23.699,13.5,1500,36.0
Barefoot Merlot,599,23.727,13.5,187,35.0
Zensa Primitivo,2498,23.79,14.0,750,39.0
Piccini Memoro rautt,2499,23.8,14.0,750,38.0
Chateau La Carelle Bordeaux,7499,23.806,14.0,2250,38.0
Amaren Selection de Vinedos,2590,23.816,14.5,750,39.0
Corte del Golfo Lazio Rosso,2590,23.816,14.5,750,40.0
Van Cat Areni,2554,24.324,14.0,750,33.0
Marques del Silvo Crianza,2464,24.336,13.5,750,39.0
Bigi Sangiovese,2470,24.395,13.5,750,34.0
French Dog Cabernet Sauvignon,2290,24.427,12.5,750,38.0
Gauma Tempranillo Dry Red,2290,24.427,12.5,750,38.0
b.io Nero d'Avola Cabernet,2390,24.513,13.0,750,38.0
Rossetti Rosso,2299,24.523,12.5,750,40.0
Marques d'Almeida Tinto,2490,24.593,13.5,750,36.0
Horizon de Bichot Pinot Noir,2490,24.593,13.5,750,37.0
Liver More Zinfndl Red Wine,2490,24.593,13.5,750,
Painted Wolf The Den Pinotage,2490,24.593,13.5,750,37.0
Viva Valentina Chianti Riserva,2398,24.595,13.0,750,37.0
Serafini Sangiovese,2398,24.595,13.0,750,37.0
JP. Chenet Cabernet Syrah,2399,24.605,13.0,750,34.0
Montgras de Vine Merlot Reserva,2399,24.605,13.0,750,32.0
Tagaro Pinataro Nero di Troia,2399,24.605,13.0,750,39.0
Faustino VII Tempranillo,2399,24.605,13.0,750,36.0
Finca del Mar Tempranillo Crianza,2399,24.605,13.0,750,35.0
Riunite Lambrusco,1479,24.65,8.0,750,38.0
Masso Antico Primitivo Single Vineyard,2590,24.667,14.0,750,40.0
Masso Antico Primitivo,2590,24.667,14.0,750,41.0
Casillero del Diablo Carmenere Reserva,2499,24.681,13.5,750,36.0
Lopez de Haro Crianza,2499,24.681,13.5,750,36.0
Yellow Tail Shiraz,2499,24.681,13.5,750,35.0
19 Crimes,2499,24.681,13.5,750,40.0
Beringer Cabernet Sauvignon,2499,24.681,13.5,750,41.0
Casillero del Diablo Merlot,2499,24.681,13.5,750,35.0
Campo Viejo Tempranillo,2499,24.681,13.5,750,36.0
Morande Pionero Reserva Cabernet Sauvignon,2499,24.681,13.5,750,33.0
Stemmari Rosso Riserva,2499,24.681,13.5,750,39.0
Yellow Tail Cabernet Sauvignon,2499,24.681,13.5,750,33.0
Fantini Sangiovese Puglia,2499,24.681,13.5,750,37.0
Ancora Montepulciano d'Abruzzo,2499,24.681,13.5,750,35.0
Trapiche Malbec Oak Cask,2499,24.681,13.5,750,36.0
Piccini Collezione Oro Riserva,2499,24.681,13.5,750,36.0
Jacob's Creek Cabernet Sauvignon,2499,24.681,13.5,750,34.0
Finca Las Moras Cabernet Sauvignon,2499,24.681,13.5,750,34.0
Trivento Cabernet Sauvignon Reserve,2599,24.752,14.0,750,36.0
Faustino VII Cabernet Sauvignon,2599,24.752,14.0,750,36.0
Vidal Fleury GSM,2599,24.752,14.0,750,34.0
Hardys Nottage Hill Cabernet Shiraz,2599,24.752,14.0,750,34.0
Mucho Mas Tinto,2599,24.752,14.0,750,42.0
Montes Merlot Reserva,2699,24.818,14.5,750,37.0
Dark Horse Zinfandel,2699,24.818,14.5,750,35.0
Montes Cabernet Sauvignon Carmenere Limited Sel.,2699,24.818,14.5,750,38.0
Real Agrado Rautt,2700,24.828,14.5,750,37.0
Big Boys Zinfandel,2799,24.88,15.0,750,41.0
Carlo Rossi Sweet Red,2999,24.992,8.0,1500,36.0
Viva Valentina Sangiovese,2348,25.045,12.5,750,37.0
Freixenet Mia Fruity Full Bodied Red,2350,25.067,12.5,750,
19 Crimes The Banished Park Red,2540,25.086,13.5,750,40.0
Castillo de Olite Crianza,2567,25.353,13.5,750,38.0
Bell'Agio Chianti,2480,25.436,13.0,750,36.0
