name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML,vivino_rating
Goats do Roam Red Blend,2990,29.531,13.5,750,35.0
Italo Cescon Cabernet,2880,29.538,13.0,750,40.0
Torre del Falasco Valpolicella Ripasso,3102,29.543,14.0,750,39.0
Fiori Feteasca Neagra Syrah,2882,29.559,13.0,750,37.0
CG Cantina Giardino Vino Rosso,5990,29.58,13.5,1500,37.0
Tagua Reserva Cabernet Sauvignon,2997,29.6,13.5,750,40.0
Diamond Hill Shiraz Merlot,999,29.6,13.5,250,31.0
Tagua Reserva Carmenere,2997,29.6,13.5,750,40.0
Udaca Touriga Nacional,2998,29.61,13.5,750,38.0
Painted Wolf Guillermo Pinotage,2999,29.62,13.5,750,40.0
Gerard Bertrand Cabernet Sauvignon An 940,2999,29.62,13.5,750,36.0
Carnivor Cabernet Sauvignon,2999,29.62,13.5,750,37.0
Gerard Bertrand Pinot Noir An 940,2999,29.62,13.5,750,37.0
Gerard Bertrand Cabernet Sauvignon Reserve Special,2999,29.62,13.5,750,36.0
Just Fucking Good Wine rautt,2999,29.62,13.5,750,37.0
Diablo Black Cabernet Sauvignon,2999,29.62,13.5,750,40.0
Castelmondo Valpolicella Ripasso,2999,29.62,13.5,750,37.0
Chateau L'Evasion Medoc,2999,29.62,13.5,750,34.0
Morande Gran Reserva Pinot Noir Seleccion de Vinedos,2999,29.62,13.5,750,
Marani Saperavi,2999,29.62,13.5,750,37.0
Chateau Goumin,2999,29.62,13.5,750,34.0
Montalto Nero d'Avola,749,29.669,13.5,187,36.0
Geggiano Pontignano Chianti Classico,2899,29.733,13.0,750,34.0
Poggio al Casone Chianti Superiore,2799,29.856,12.5,750,36.0
Tommasi Valpolicella,2699,29.989,12.0,750,43.0
Valli Unite Vino Rosso Biologico,21090,30.129,14.0,5000,39.0
Gerard Bertrand Tautavel  An 560 Cotes du Roussillon V.,3399,30.213,15.0,750,38.0
Costaripa Mazane Marzemino,2947,30.226,13.0,750,36.0
Peter Lehmann Portrait Shiraz,3299,30.336,14.5,750,37.0
M. Chapoutier Belleruche Rouge,3299,30.336,14.5,750,37.0
Mimetic Vino Tinto,3300,30.345,14.5,750,42.0
Yoga Syrah Organic,3189,30.371,14.0,750,35.0
Marques de Grinon Clasico,3189,30.371,14.0,750,38.0
Cocoon Zinfandel,3189,30.371,14.0,750,39.0
Hubert Sandhofer Nero Frizzante,2620,30.377,11.5,750,
Familia Valdelana Reserva,3190,30.381,14.0,750,41.0
Berceo Crianza,3085,30.469,13.5,750,35.0
Castillo del Moro Tempranillo Syrah,2982,30.585,13.0,750,35.0
Montecillo Reserva,3099,30.607,13.5,750,39.0
Dehesa La Granja,3333,30.648,14.5,750,39.0
Mas Pujol L'Originel,2989,30.656,13.0,750,37.0
Plantey de Lieu Jean Rouge,2990,30.667,13.0,750,36.0
Chateau Haut Pougnan rautt,2990,30.667,13.0,750,35.0
Cecchi Toscana Sangiovese,2990,30.667,13.0,750,35.0
Nativ Rue Dell Inchiostro,3222,30.686,14.0,750,38.0
Udaca Tinto,1498,30.728,13.0,375,32.0
Kiss of Wine Tempranillo,999,30.738,13.0,250,37.0
Vicar's Choice Pinot Noir,2999,30.759,13.0,750,36.0
Gerard Bertrand Pinot Noir Reserve Speciale,2999,30.759,13.0,750,37.0
Tommasi Merlot Le Prunee,2999,30.759,13.0,750,36.0
Patrizi Passo del Bricco Rosso,2999,30.759,13.0,750,39.0
Hillside Valley Ruby Cabernet,2999,30.759,13.0,750,33.0
Gerard Bertrand cote des roses Pinot Noir,2999,30.759,13.0,750,37.0
Tommasi Il Tinto Rosso,2999,30.759,13.0,750,34.0
Farina Appassilento Rosso,2999,30.759,13.0,750,38.0
Marques del Silvo Gran Reserva,3237,30.829,14.0,750,39.0
Morande Pionero Reserva Cabernet Sauvignon,780,30.897,13.5,187,33.0
Vicar's Choice Merlot,2899,30.923,12.5,750,35.0
Fontanafredda Raimonda Barbera d'Alba,3480,30.933,15.0,750,36.0
Quinta do Caleiro Reserva,3144,31.052,13.5,750,36.0
Ciu Ciu Piceno Bacchus,3144,31.052,13.5,750,38.0
Andreza Reserva Tinto,3150,31.111,13.5,750,38.0
Luis Canas Crianza,3390,31.172,14.5,750,38.0
El Coche Vino Tinto,3275,31.19,14.0,750,23.0
Chateau Barrabaque Hugo,3392,31.191,14.5,750,40.0
Cantine Povero batu Barbaresco,3398,31.246,14.5,750,41.0
Campillo Reserva,3399,31.255,14.5,750,38.0
Fiorino Sangiovese,3399,31.255,14.5,750,38.0
Museum Reserva,3399,31.255,14.5,750,40.0
Nederburg Manor House Cabernet Sauvignon,3399,31.255,14.5,750,36.0
Real Agrado Reserva,3400,31.264,14.5,750,38.0
Pasqua Morago Appassite Black Label,3290,31.333,14.0,750,39.0
cinema tempranillo 6 meses en barrica,3412,31.375,14.5,750,35.0
Pariondo Valpolicella Ripasso Classico Superiore,3299,31.419,14.0,750,40.0
Peter Lehmann Portrait Cabernet,3299,31.419,14.0,750,37.0
Altanza Reserva,3299,31.419,14.0,750,39.0
Lealtanza Unico 12 Meses Robel Frances Crianza,3299,31.419,14.0,750,41.0
Cerro Anon Reserva,3299,31.419,14.0,750,40.0
Borgo Scopeto Chianti Classico,3190,31.506,13.5,750,37.0
Cantina La Selva Avorio Rosso,3190,31.506,13.5,750,35.0
Vivera Terra dei Sogni Rosso,3195,31.556,13.5,750,38.0
Fondo Antico Le Clay Syrah,3316,31.581,14.0,750,40.0
Fondo Antico Nene Nero d'Avola,3316,31.581,14.0,750,39.0
Purato Nero d'Avola,1599,31.585,13.5,375,36.0
Faustino VII Tempranillo,1599,31.585,13.5,375,36.0
Chateau Bois de Rolland Vieilles Vignes,3199,31.595,13.5,750,39.0
Campo Maccione Morellino di Scansano,3199,31.595,13.5,750,35.0
Sasyr Sangiovese Syrah,3199,31.595,13.5,750,38.0
Beronia Crianza,799,31.65,13.5,187,36.0
Nice Malbec,799,31.65,13.5,187,38.0
Underwood Pinot Noir,1548,31.754,13.0,375,35.0
Masi Campofiorin,3099,31.785,13.0,750,37.0
Chateau Gros Moulin,3459,31.807,14.5,750,36.0
Angus The Bull Cabernet Sauvignon,3340,31.81,14.0,750,37.0
Scuri Pinot Nero,2990,31.893,12.5,750,37.0
Tyto alba Tinto,3350,31.905,14.0,750,38.0
Vila Real Premium Douro rautt,3350,31.905,14.0,750,37.0
Louis Latour Valmoissine Pinot Noir,2999,31.989,12.5,750,37.0
Pasqua Valpolicella Black Label,2999,31.989,12.5,750,41.0
Ceppaiano Alle Viole,2999,31.989,12.5,750,38.0
Tommasi Rafael Valpolicella,2999,31.989,12.5,750,39.0
19 Crimes Cali Red Snoop Dogg,2999,31.989,12.5,750,37.0
Kakabadze Pirosmani Red Semi Dry,2999,31.989,12.5,750,38.0
Terratini Primitivo di Manduria,3599,31.991,15.0,750,40.0
Balestino Tempranillo Selecion Privada,3489,32.083,14.5,750,33.0
Tautor Primitivo di Manduria,3489,32.083,14.5,750,42.0
Bontadini Negroamaro,3489,32.083,14.5,750,36.0
Torres Gran Coronas Cabernet Sauvignon,3490,32.092,14.5,750,38.0
Vicente Gandia Raiza Crianza Tempranillo,3375,32.143,14.0,750,33.0
Juan Gil Yellow Label,3498,32.166,14.5,750,38.0
Matsu El Recio,3498,32.166,14.5,750,41.0
Beats the Devil Premium Shiraz,3498,32.166,14.5,750,36.0
La Maset de Lumet Syrah Malbec Merlot,3498,32.166,14.5,750,38.0
Altano Douro Reserva rautt,3498,32.166,14.5,750,38.0
Mafi Rosso,3498,32.166,14.5,750,37.0
Meinklang Burgenlandrot,2895,32.167,12.0,750,37.0
Olivier Lafont Lirac,3499,32.175,14.5,750,36.0
Columbia Crest Cabernet Sauvignon Grand Estates,3499,32.175,14.5,750,37.0
Marques de Casa Concha Cabernet Sauvignon,3499,32.175,14.5,750,39.0
Museum Reserva Magnum í öskju,6998,32.175,14.5,1500,41.0
Luis Canas Reserva Magnum í trékassa,6999,32.179,14.5,1500,40.0
Brunelli Valpolicella Classico Superiore,3150,32.308,13.0,750,40.0
glárima de Sommos Merlot Tempranillo,3275,32.346,13.5,750,34.0
Villa des Anges Reserve,3399,32.371,14.0,750,41.0
Ramon Bilbao Reserva,3399,32.371,14.0,750,40.0
Piccini Memoro Vintage,3399,32.371,14.0,750,38.0
Cune Reserva,3399,32.371,14.0,750,38.0
La Planta Tempranillo,3399,32.371,14.0,750,36.0
Faustino Reserva,3399,32.371,14.0,750,41.0
Carodorum Issos Crianza,3650,32.444,15.0,750,38.0
Adro Da Se Reserva,3168,32.492,13.0,750,38.0
Heras Cordon Vendimia Seleccionada Crianza,3421,32.581,14.0,750,39.0
Rocca delle Macie Chianti Classico,3299,32.583,13.5,750,37.0
Real Agrado VA,3300,32.593,13.5,750,38.0
Guelbenzu Evo,3555,32.69,14.5,750,39.0
Scuri Cabernet Sauvignon,3190,32.718,13.0,750,39.0
Koncho Aleksandrouli Red dry,3196,32.779,13.0,750,36.0
Los Espinos Reserva Merlot,3199,32.81,13.0,750,
Chateau Tour du Moulin les Terres Rouges Fronsac,3322,32.81,13.5,750,40.0
Campo del Re Primitivo Merlot,3574,32.864,14.5,750,40.0
"LAN Crianza, LAN Reserva, LAN Gran Reserva í trékassa",9990,32.889,13.5,2250,40.0
Chateau de Seguin,3340,32.988,13.5,750,36.0
Torri d'Oro Primitivo di Manduria,3589,33.002,14.5,750,41.0
Lunadoro Vino Nobile di Montepulciano,3590,33.011,14.5,750,40.0
Columbia Crest Grand Estates Merlot,3595,33.057,14.5,750,37.0
Kir-Yianni Naoussa,3471,33.057,14.0,750,37.0
Campo Viejo Reserva & Campo Viejo Tempranillo,6699,33.081,13.5,1500,38.0
Jacob's Creek Chardonnay & Shiraz Cabernet,6699,33.081,13.5,1500,34.0
Riunite Lambrusco,495,33.088,8.0,187,38.0
Pievasciata Rosso,3599,33.094,14.5,750,41.0
Bacio Rosso Primitivo,3599,33.094,14.5,750,40.0
Finca Las Moras Black Label Malbec,3599,33.094,14.5,750,39.0
Chateau de Janicon Graves Rouge,3229,33.118,13.0,750,40.0
Marques de Caceres Reserva,3480,33.143,14.0,750,39.0
Herdade do Rocim Vinho Tinto,3489,33.229,14.0,750,39.0
Zuccardi Malbec Serie A,3489,33.229,14.0,750,38.0
Marques de la Concordia Crianza Rioja Santiago,3489,33.229,14.0,750,37.0
Clos Ancestral Vi Ecologic,3490,33.238,14.0,750,38.0
Beronia Crianza,1685,33.284,13.5,375,36.0
Beronia Tempranillo,3495,33.286,14.0,750,38.0
Kiss of Wine Dolcetto,999,33.3,12.0,250,38.0
Andres Iniesta Corazon Loco Bobal,3497,33.305,14.0,750,36.0
Diamante Crianza,3498,33.314,14.0,750,36.0
Kakabadze Kindzmarauli Red Semi Sweet,2999,33.322,12.0,750,38.0
Succes la Cuca de Llum,2999,33.322,12.0,750,37.0
Ammasso,3499,33.324,14.0,750,42.0
Marques de Casa Concha Merlot,3499,33.324,14.0,750,39.0
Montgras Antu Cabernet Sauvignon Single Vineyard,3499,33.324,14.0,750,38.0
Instant Becot,3499,33.324,14.0,750,36.0
Montgras Antu Pinot Noir Single Vineyard,3499,33.324,14.0,750,37.0
Les Darons Languedoc by Jeff Carrel,3500,33.333,14.0,750,38.0
Quattronotti Appassimento Negroamaro,3629,33.37,14.5,750,41.0
Donnafugata Sedara,3390,33.481,13.5,750,36.0
Jorio Montepulciano d'Abruzzo,3390,33.481,13.5,750,36.0
Marques de la Concordia Rioja Santiago,3390,33.481,13.5,750,37.0
LAN Reserva,3390,33.481,13.5,750,39.0
El Reflejo de Mikaela Bobal,3770,33.511,15.0,750,38.0
Duas Quintas Tinto,3519,33.514,14.0,750,39.0
La Celestina Crianza,3646,33.526,14.5,750,38.0
Salvaje Syrah Roussanne,3399,33.57,13.5,750,36.0
Il Carnevali Sangiovese Primitivo,3399,33.57,13.5,750,
Louis Jadot Beaujolais Villages Combe aux Jacques,3399,33.57,13.5,750,37.0
Hubert Sandhofer St. Laurent Eisner,3275,33.59,13.0,750,
Hubert Sandhofer Rosenberg K.G.,3275,33.59,13.0,750,
Tbilvino Saperavi,3275,33.59,13.0,750,38.0
Fondo Antico Per Te Perricone,3153,33.632,12.5,750,37.0
Beefsteak Club Malbec Estate Bottled,3409,33.669,13.5,750,37.0
Altitud Garnacha Sierra de Gredos,3791,33.698,15.0,750,38.0
Malacara Malbec,3589,33.7,14.2,750,39.0
Perelada 5 Finques Reserva,3666,33.71,14.5,750,41.0
Baby Bad Boy rautt,3290,33.744,13.0,750,36.0
Girlan 448 Rosso,3290,33.744,13.0,750,35.0
Koncho Kindzmarauli Red semi sweet,3294,33.785,13.0,750,39.0
Gerard Bertrand Pic Saint-Loup,3299,33.836,13.0,750,38.0
Mommessin Beaujolais-Villages,3299,33.836,13.0,750,35.0
Fletris Appassimento Primitivo Barrel Aged,3683,33.867,14.5,750,
Fiorino Rosso,3690,33.931,14.5,750,38.0
Ratti Battaglione Barbera,3690,33.931,14.5,750,39.0
Hess Select Treo Winemaker's Blend Red Wine,3699,34.014,14.5,750,38.0
Peter Lehmann The Barossan Grenache,3699,34.014,14.5,750,38.0
Prima,3699,34.014,14.5,750,36.0
Cameleon merlot & cabernet sauvignon &,3598,34.024,14.1,750,35.0
Andres Iniesta Corazon Loco Syrah Tempranillo,3445,34.025,13.5,750,34.0
Chronic Cellars Red Blend Purple Paradise,3790,34.144,14.8,750,38.0
Chronic Cellars Petite Sirah Suite Petite,3790,34.144,14.8,750,38.0
Vinyes Ocults Malbec,3690,34.167,14.4,750,39.0
The Goatfather,3590,34.19,14.0,750,34.0
La Bette by Jeff Carrel,3599,34.276,14.0,750,38.0
Trapiche Medalla Cabernet Sauvignon,3599,34.276,14.0,750,39.0
Man Meets Mountain Malbec,3603,34.314,14.0,750,37.0
Formiga de Vellut,3733,34.326,14.5,750,39.0
Marques de Grinon Caliza,3864,34.347,15.0,750,38.0
Chateau Beausejour Cuvee Prestige,3999,34.4,15.5,750,37.0
Catena Malbec,3490,34.469,13.5,750,40.0
Celeste Crianza,3750,34.483,14.5,750,39.0
Monte da Raposinha Reserva,3751,34.492,14.5,750,39.0
Gustave Lorentz Evidence Pinot Noir,3495,34.519,13.5,750,38.0
Roccamora negroamaro,3495,34.519,13.5,750,40.0
Villa Girardi Bure Alto Ripasso,3495,34.519,13.5,750,39.0
Musar Jeune,3498,34.548,13.5,750,38.0
Chateau Corconnac,3498,34.548,13.5,750,36.0
Bread & Butter Pinot Noir,3499,34.558,13.5,750,40.0
Podere Brizio Rosso di Montalcino,3499,34.558,13.5,750,38.0
Campo Viejo Gran Reserva,3499,34.558,13.5,750,39.0
Montgras Antu Cabernet Sauvignon Carmenere,3499,34.558,13.5,750,38.0
"Tommasi Adorato, Tommasi Graticcio",6499,34.661,12.5,1500,38.0
Poggioargentiera  Bellamarsilia,3770,34.667,14.5,750,36.0
Le Gardeta Garnacha Single Vineyard,3777,34.731,14.5,750,38.0
Beronia Reserva,3650,34.762,14.0,750,40.0
Think Big Great Zinfandel Vat.66,3789,34.841,14.5,750,38.0
Cillar Tempranillo,3790,34.851,14.5,750,37.0
Sensi Forziere Riserva Chianti Classico,3398,34.851,13.0,750,34.0
Luis Canas Reserva,3790,34.851,14.5,750,40.0
Peter Lehmann The Barossan Shiraz,3798,34.924,14.5,750,39.0
Montes Alpha Cabernet Sauvignon,3798,34.924,14.5,750,39.0
Montes Alpha Carmenere,3798,34.924,14.5,750,40.0
Nederburg The Motorcycle Marvel rautt,3798,34.924,14.5,750,39.0
Umberto Cesari iove rautt og hvítt,6559,34.981,12.5,1500,36.0
Poggioargentiera Maremmante,3547,35.032,13.5,750,35.0
Joel Gott Zinfandel,3790,35.093,14.4,750,38.0
Venta del Puerto No 18,3690,35.143,14.0,750,40.0
Hillside Valley Zinfandel Black Label,3690,35.143,14.0,750,37.0
Chateau Lys de Maisonneuve,3696,35.2,14.0,750,41.0
Trivento Golden Reserve Malbec,3699,35.229,14.0,750,39.0
Villa Antinori rautt,3699,35.229,14.0,750,38.0
Dievole Chianti Classico,3699,35.229,14.0,750,38.0
Chronic Cellars Cabernet Sauvignon Sir Real,3790,35.338,14.3,750,39.0
Mouton Cadet Rouge,1790,35.358,13.5,375,35.0
Danza Delle Spade,3850,35.402,14.5,750,40.0
Les Legendes R Medoc,3589,35.447,13.5,750,37.0
Fairview Grenache Noir,3590,35.457,13.5,750,35.0
Vina Eguia Gran Reserva,3590,35.457,13.5,750,35.0
Ca'della Scala Mezzopiano Ripasso,3590,35.457,13.5,750,42.0
Camparo Sara Barbera d'Alba,3990,35.467,15.0,750,39.0
Tesouro Da Se Private Selection Tinto,3595,35.506,13.5,750,39.0
De Grendel Merlot,3864,35.531,14.5,750,38.0
Murphy Goode Pinot Noir,3598,35.536,13.5,750,37.0
Casisano Rosso di Montalcino,3599,35.546,13.5,750,37.0
Rapaura Reserve Pinot Noir,3599,35.546,13.5,750,37.0
Chateau L'Hospitalet La Reserve,3999,35.547,15.0,750,40.0
Los Vascos Cromas Cabernet Sauvignon Gran Reserva,3889,35.761,14.5,750,38.0
Carm Reserva Tinto Family Vineyards,3890,35.77,14.5,750,39.0
Koncho Mukuzani Red dry,3489,35.785,13.0,750,37.0
Durbanville Hills The Promenade Pinotage,3899,35.853,14.5,750,41.0
Castello di Querceto Chianti Classico,3498,35.877,13.0,750,37.0
Andres Iniesta Corazon Loco Premium,3916,36.009,14.5,750,40.0
Italo Cescon Cabernet,1690,36.053,12.5,375,40.0
Zanettini Corvina Apassemento,3789,36.086,14.0,750,36.0
Swartland Pinotage Winemaker's Collection,3789,36.086,14.0,750,35.0
Swartland Cabernet Sauvignon Winemaker's Collection,3789,36.086,14.0,750,34.0
Swartland Syrah Winemaker's Collection,3789,36.086,14.0,750,35.0
La Pisadas Cosecha,3791,36.105,14.0,750,31.0
Chateau Timberlay Merlot Cabernet Sauvignon,3798,36.171,14.0,750,35.0
Glorioso Reserva,3798,36.171,14.0,750,38.0
Lopez de Haro Gran Reserva,3798,36.171,14.0,750,40.0
Escorihuela Gascon Malbec,3798,36.171,14.0,750,39.0
Crasto Superior,3799,36.181,14.0,750,41.0
Finca del Marquesado Seleccion,3799,36.181,14.0,750,40.0
Vallepicciola Chianti Classico,3799,36.181,14.0,750,40.0
Vina Real Reserva,3799,36.181,14.0,750,38.0
Beck Blaufrankisch,3399,36.256,12.5,750,39.0
Boutinot La Cote Sauvage Cairanne,3949,36.313,14.5,750,41.0
Pasqua Ripasso,3690,36.444,13.5,750,38.0
de Alto amo Crianza,3698,36.523,13.5,750,40.0
Morande Vitis Unica Cabernet Sauvignon,3699,36.533,13.5,750,40.0
Hess Select Cabernet Sauvignon,3699,36.533,13.5,750,38.0
Montecillo Edicion Limitada,3699,36.533,13.5,750,40.0
Gonzalo de Berceo Reserva,3844,36.61,14.0,750,38.0
2019 Corbucci 9 Code Chianti,3982,36.616,14.5,750,40.0
"Muga Reserva, Muga hvítt, Muga rósavín",11299,36.655,13.7,2250,42.0
Castello di Querceto Chianti Classico,1787,36.656,13.0,375,37.0
Guelbenzu Lombana,3987,36.662,14.5,750,41.0
Mouton Cadet Rouge,926,36.681,13.5,187,35.0
Tua Rita Rosso dei Notri,3990,36.69,14.5,750,38.0
Cosi Langhe Nebbiolo,3990,36.69,14.5,750,35.0
Sidus Tenuta Pianirossi Montecucco,3990,36.69,14.5,750,38.0
Chateau Ste Michelle Indian Wells Cabernet Sauvignon,3990,36.69,14.5,750,40.0
crescendo vinho tinto,3990,36.69,14.5,750,
Banfi Cum Laude,3990,36.69,14.5,750,39.0
I Domi,3991,36.699,14.5,750,38.0
The Chocolate Block,3995,36.736,14.5,750,42.0
Malacara Oak Cask Red Blend,3995,36.736,14.5,750,39.0
La Posta Glorieta Pinot Noir,3667,36.762,13.3,750,37.0
La Provincia Tempranillo y Garnacha,3999,36.772,14.5,750,35.0
Marques de Casa Concha Etiqueta Negra,3999,36.772,14.5,750,42.0
1000 Stories Zinfandel,3999,36.772,14.5,750,41.0
Kendall Jackson Vintner's Reserve Pinot Noir,3999,36.772,14.5,750,37.0
1000 Stories Cabernet Sauvignon,3999,36.772,14.5,750,40.0
Trapiche Gran Medalla Malbec,3999,36.772,14.5,750,42.0
Protos Crianza,3999,36.772,14.5,750,39.0
Altos Ibericos Reserva,3999,36.772,14.5,750,38.0
1000 Stories Pinot Noir American Barrel Aged,3999,36.772,14.5,750,
Chateau Camplazens Premium La Clape,4152,36.907,15.0,750,41.0
A Vue De Nez by Jeff Carrel,3599,36.913,13.0,750,36.0
Zenato Ripassa Superiore,3890,37.048,14.0,750,41.0
Ama Mi Primitivo,3758,37.116,13.5,750,36.0
Glen Carlou Syrah,3899,37.133,14.0,750,38.0
Massolino Barbera d'Alba,3899,37.133,14.0,750,39.0
Glen Carlou Cabernet Sauvignon,3899,37.133,14.0,750,38.0
Conde Valdemar Reserva,3899,37.133,14.0,750,39.0
Lacerta Cabernet Sauvignon Reserva,3994,37.24,14.3,750,39.0
Elouan Pinot Noir,3800,37.255,13.6,750,40.0
Francois Martenot Bourgogne Pinot Noir,3499,37.323,12.5,750,33.0
marta mate,3924,37.371,14.0,750,35.0
Rioja Vega Reserva,3928,37.41,14.0,750,38.0
Heras Cordon Reserva Red Wine,3928,37.41,14.0,750,40.0
Nals Margreid Angra Pinot Noir,3929,37.419,14.0,750,38.0
Tenuta di Sticciano Chianti Riserva,3929,37.419,14.0,750,40.0
Les Vacances Val de Combres,3649,37.426,13.0,750,40.0
Maiastru Cabernet Sauvignon,1310,37.429,14.0,250,35.0
Valdibella Kerasos Nero d'Avola,3790,37.432,13.5,750,36.0
Marani Saperavi Traditional Qvevri Wine,3796,37.491,13.5,750,38.0
Antinori Peppoli,3798,37.511,13.5,750,38.0
Escorihuela Gascon 1884 Sangiovese,3798,37.511,13.5,750,38.0
Callejon del Crimen Reserva Malbec,3995,37.512,14.2,750,39.0
Tommasi Ripasso,3799,37.521,13.5,750,40.0
Meinklang Roter Mulatschak,3099,37.564,11.0,750,40.0
cinema crianza,4228,37.582,15.0,750,37.0
Carodorum Vino de Autor Crianza,4229,37.591,15.0,750,
Montespada Cannonau,3667,37.61,13.0,750,38.0
Uivo Renegado Vinho Tinto,3250,37.681,11.5,750,36.0
Meinklang Blaufrankisch,3250,37.681,11.5,750,36.0
Peter Lehmann Futures Shiraz,4098,37.683,14.5,750,38.0
Áster Crianza,4099,37.692,14.5,750,39.0
Tavros Primitivo di Manduria,4102,37.72,14.5,750,42.0
Lapostolle Cuvee Alexandre Cabernet Sauvignon,4110,37.793,14.5,750,39.0
Condado de Haza Crianza,4111,37.802,14.5,750,38.0
Bovin Kleopatra Cabernet Franc,3694,37.887,13.0,750,40.0
Zuccardi Q Malbec,3979,37.895,14.0,750,39.0
Ricasoli Brolio,3980,37.905,14.0,750,37.0
Le Fiston Terres du Midi by Jeff Carrel,3699,37.938,13.0,750,36.0
Marques de la Concordia Reserva Rioja Santiago,3990,38.0,14.0,750,40.0
Babylon's Peak Shiraz Carignan,3990,38.0,14.0,750,38.0
LAN Gran Reserva,3990,38.0,14.0,750,40.0
Armentino negroamaro e primitivo,3995,38.048,14.0,750,39.0
Maggio Barolo,3998,38.076,14.0,750,39.0
Privatkeller Cabernet Merlot,3998,38.076,14.0,750,39.0
Cune Gran Reserva,3999,38.086,14.0,750,40.0
Carm Natural Vinho Tinto Family Vineyards,3999,38.086,14.0,750,39.0
Bellingham Bernard Series Bush Vine Pinotage,3999,38.086,14.0,750,41.0
Masi Brolo Campofiorin,3999,38.086,14.0,750,38.0
Bellingham Bernard Series Basket Press Syrah,3999,38.086,14.0,750,41.0
Cerro Anon Gran Reserva,3999,38.086,14.0,750,42.0
Emiliana Coyam,3999,38.086,14.0,750,42.0
Camino Dominio Romano Tinto Fino,3999,38.086,14.0,750,36.0
Ricossa Barbaresco,3999,38.086,14.0,750,37.0
Bad Boy Garage l'Original,4290,38.133,15.0,750,38.0
Alessandrino Vino Rosso,3590,38.293,12.5,750,
J. Lohr Falcon's Perch Pinot Noir,3999,38.36,13.9,750,37.0
J. Lohr Seven Oaks Cabernet Sauvignon,3999,38.36,13.9,750,40.0
Licenciado Reserva,3890,38.42,13.5,750,38.0
Allegrini Palazzo della Torre,3890,38.42,13.5,750,40.0
Le Renard Pinot Noir,3890,38.42,13.5,750,36.0
Umberto Cesari Moma rautt og hvítt,7499,38.456,13.0,1500,38.0
Vallepicciola Chianti Classico,1950,38.519,13.5,375,40.0
Campillo Reserva Coleccion,4199,38.611,14.5,750,40.0
Roca del Crit Vino Tinto,4200,38.621,14.5,750,33.0
Ceci Lambrusco 1813 Vino Frizzante,3196,38.739,11.0,750,
Master of None,3929,38.805,13.5,750,40.0
La Chaize Morgon,3929,38.805,13.5,750,39.0
Puszta Libre rauðvín,3350,38.841,11.5,750,41.0
Alphart Pinot Noir Vom Berg,3499,38.878,12.0,750,37.0
Ecoltura Valpolicella,3500,38.889,12.0,750,35.0
Nativ Blu Onice,4389,39.013,15.0,750,42.0
Parada de Atauta,4390,39.022,15.0,750,40.0
Vernice Mohair Sciascinoso,4245,39.034,14.5,750,42.0
Volpaia rautt,4101,39.057,14.0,750,38.0
Ceci Lambrusco 1813 Amabile Vino Frizzante,2490,39.059,8.5,750,38.0
Jordan Black Magic Merlot,3979,39.299,13.5,750,38.0
Secret del Priorat,3990,39.407,13.5,750,40.0
Aresti Series Trisquel Merlot,3990,39.407,13.5,750,40.0
Primus The Blend,3990,39.407,13.5,750,38.0
Banfi Chianti Classico Riserva,3990,39.407,13.5,750,38.0
Chateau de Manissy Oracle rautt,3995,39.457,13.5,750,35.0
Wixo Sangiovese,849,39.479,11.5,187,36.0
Tommasi Ripasso,1999,39.486,13.5,375,40.0
Montecillo Gran Reserva,3999,39.496,13.5,750,39.0
Bava Langhe Nebbiolo,3999,39.496,13.5,750,38.0
Chateau Ste Michelle Cabernet Sauvignon,3999,39.496,13.5,750,38.0
Point De Vue by Jeff Carrel,3999,39.496,13.5,750,39.0
Marques de Casa Concha Chardonnay & Cabernet blandað 2x750 ml í öskju,8299,39.519,14.0,1500,39.0
Glen Carlou Grand Classique,4299,39.531,14.5,750,39.0
Roquette & Cazes,4299,39.531,14.5,750,
Chateau Beaumont,4321,39.733,14.5,750,38.0
Antieri susumaniello,4494,39.947,15.0,750,43.0
Altanza Reserva,2099,39.981,14.0,375,39.0
Antiche Terre Amarone della Valpolicella Baorna,4498,39.982,15.0,750,42.0
Cantine Povero Priore Barolo,4348,39.982,14.5,750,42.0
Ruffino Riserva Ducale Chianti Classico,4199,39.99,14.0,750,39.0
Louis M Martini Cabernet Sauvignon,4199,39.99,14.0,750,38.0
Coto de Imaz Gran Reserva,4199,39.99,14.0,750,41.0
Barahonda Summum,4499,39.991,15.0,750,42.0
Juan Gil Silver Label,4499,39.991,15.0,750,40.0
Chateau des Combes Saint Emilion Grand Cru,4499,39.991,15.0,750,40.0
Domaine de Villemajou Corbieres Boutenac,4499,39.991,15.0,750,39.0
"Tommasi Ripasso,Tommasi Pinot Grigio Le Rosse",7799,39.995,13.0,1500,37.0
La Cetate Merlot,4377,40.248,14.5,750,37.0
Saint Clair Pioneer Block 17 Syrah,3799,40.523,12.5,750,37.0
Banfi Belnero,4419,40.634,14.5,750,38.0
Bulas Reserva Tinto,4275,40.714,14.0,750,39.0
Pesquera Crianza,4444,40.864,14.5,750,40.0
Casalforte Amarone,4598,40.871,15.0,750,41.0
Pierre Ponnelle Pinot Noir,3990,40.923,13.0,750,34.0
Valdibella Agape Nerello Mascalese,3990,40.923,13.0,750,
Albert Bichot Secret de Famille Pinot Noir,3990,40.923,13.0,750,37.0
