name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Rich Secco,656,0.31238095238095237,10.5,200
Cune Brut,2699,0.3129275362318841,11.5,750
Pizzolato Prosecco,2599,0.31503030303030305,11.0,750
JP. Chenet Muscat Divine Demi Sec,2599,0.31503030303030305,11.0,750
Manfredi Asti Dolce,1798,0.31964444444444445,7.5,750
Bergamo Vini Cuvee Marli Millesimato,2777,0.3219710144927536,11.5,750
Bailly Lapierre Cremant Reserve Brut,2899,0.3221111111111111,12.0,750
Crudo Prosecco,2790,0.3234782608695652,11.5,750
Santa Margherita Valdobbiadene Prosecco Brut,2790,0.3234782608695652,11.5,750
Anna Codorniu,2799,0.3245217391304348,11.5,750
Freixenet Italian Rose Sparkling,2685,0.32545454545454544,11.0,750
Freixenet Prosecco,2685,0.32545454545454544,11.0,750
Monistrol Semi Seco Prestige Cuvee Limited Edition,2699,0.32715151515151514,11.0,750
Pizzolato Rose Violette Extra Dry,2699,0.32715151515151514,11.0,750
Andre Delorme Rose Brut Cremant de Bourgogne,2990,0.3322222222222222,12.0,750
Andre Delorme Brut Cremant de Bourgogne,2990,0.3322222222222222,12.0,750
Fita Azul Attitude Reserva Bruto Metodo Classico,2999,0.3332222222222222,12.0,750
Bailly Lapierre Rose Brut,2999,0.3332222222222222,12.0,750
Willm Cremant d'Alsace Brut,2999,0.3332222222222222,12.0,750
Lucien Albrecht Brut Rose Cremant d'Alsace,2999,0.3332222222222222,12.0,750
Francois Martenot Cremant de Bourgogne Brut,2999,0.3332222222222222,12.0,750
Zenato Rose Metodo Charmat Brut,2999,0.3332222222222222,12.0,750
Faustino Brut Rosado,2999,0.3332222222222222,12.0,750
Fita Azul Passion Rose Bruto,2999,0.3332222222222222,12.0,750
Fita Azul Celebration Reserva Meio Seco Metodo Classico,2999,0.3332222222222222,12.0,750
Bestheim Cremant d'Alsace Brut Premium Magnum í öskju,5999,0.3332777777777778,12.0,1500
Montesquius Brut Reserva Limited Edition,2885,0.3344927536231884,11.5,750
h Honor Brut Rosat Ecologic Metode Tradicional,2891,0.33518840579710146,11.5,750
h Honor Brut Seleccio Ecologic Metode Tradicional,2891,0.33518840579710146,11.5,750
Faustino Brut Reserva,2899,0.3361159420289855,11.5,750
Gancia Asti,1899,0.3376,7.5,750
Martini Asti,1899,0.3376,7.5,750
Masottina Calmaggiore Extra Dry,2790,0.3381818181818182,11.0,750
Borgo Molino Extra Dry,2790,0.3381818181818182,11.0,750
Kylie Minogue Prosecco Rose Extra Dry,2799,0.3392727272727273,11.0,750
Vinyes Ocults Torrontes Dulce Natural,2190,0.3395348837209302,8.6,750
JP. Chenet Ice Edition,749,0.34045454545454545,11.0,200
