name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Lirico Tinto Premium Selection,1999,0.21322666666666668,12.5,750
Casillero del Diablo Cabernet Sauvignon,7999,0.21330666666666667,12.5,3000
Lindeman's Shiraz Cabernet,7999,0.21330666666666667,12.5,3000
Bouchard Aine Pinot Noir Heritage du Conseiller,7999,0.21330666666666667,12.5,3000
Sancrispino Syrah Merlot Bio,1390,0.21384615384615385,13.0,500
Amicale,8990,0.21404761904761904,14.0,3000
Colossal Reserva,2248,0.2140952380952381,14.0,750
Hillside Valley Zinfandel Black Label,8998,0.21423809523809523,14.0,3000
Goats do Roam Grand Reserve Red,8690,0.2145679012345679,13.5,3000
Apothic Red,8698,0.21476543209876542,13.5,3000
Silk & Spice Red Blend,8699,0.21479012345679013,13.5,3000
Rendola Red Wine,2098,0.21517948717948718,13.0,750
Vina Maipo Classic Series Cabernet Sauvignon,1949,0.21655555555555556,12.0,750
Coronas Tempranillo,8790,0.21703703703703703,13.5,3000
Leva Cabernet Sauvignon Merlot,2198,0.21708641975308643,13.5,750
Appassimento Originale,9450,0.21724137931034482,14.5,3000
Bay Area Zinfandel,6390,0.21846153846153846,13.0,2250
Lab Reserva,1148,0.21866666666666668,14.0,375
Kirkland Rioja Reserva,2227,0.21995061728395063,13.5,750
Inycon Appassimento Rosso Organic Private Selection,5940,0.22,13.5,2000
Periquita Reserva Red Wine,8590,0.22025641025641027,13.0,3000
Viva Valentina Sangiovese,4298,0.2204102564102564,13.0,1500
Tommasi Graticcio Appassionato,8299,0.22130666666666668,12.5,3000
Allegro Primitivo Sangiovese Organic,8977,0.2216543209876543,13.5,3000
Uncorked Cotes du Rhone Rouge Cuvee Speciale,8990,0.22197530864197532,13.5,3000
African Spirit Pinotage Shiraz,8990,0.22197530864197532,13.5,3000
Frontera Cabernet Sauvignon,1999,0.22211111111111112,12.0,750
Carlo Rossi California Red,3999,0.22216666666666668,12.0,1500
Make It Big True Pinot Noir VAT.47,8998,0.22217283950617284,13.5,3000
Trapiche Reserve Malbec,4499,0.22217283950617284,13.5,1500
Falling Feather Ruby Cabernet,7999,0.22219444444444444,12.0,3000
Enzo Bartoli,8999,0.22219753086419752,13.5,3000
Trapiche Malbec,2099,0.22389333333333333,12.5,750
Alberone Grande Rosso Oak Aged,9790,0.22505747126436781,14.5,3000
The Wanted Zin Zinfandel Old Vines,2448,0.22510344827586207,14.5,750
Faustino Tempranillo,8799,0.2256153846153846,13.0,3000
Sancrispino Rosso,2490,0.22636363636363635,11.0,1000
Barefoot Cabernet Sauvignon,2299,0.22706172839506172,13.5,750
Folklore Tempranillo & Garnacha Vino Tinto,2299,0.22706172839506172,13.5,750
Barefoot Merlot,2299,0.22706172839506172,13.5,750
Torres Gran Sangre de Toro Reserva,2474,0.22749425287356323,14.5,750
Viva Valentina Il Classico Rosso,2398,0.22838095238095238,14.0,750
Famiglia Grillo Organic Rosso,2398,0.22838095238095238,14.0,750
Gabriel Meffre Saint-Vincent Cotes-du-Rhone,2227,0.22841025641025642,13.0,750
Think Big Great Zinfandel,9990,0.2296551724137931,14.5,3000
M. Chapoutier Belleruche Rouge,9999,0.22986206896551725,14.5,3000
Torri Montepulziano d'Abruzzo,8990,0.23051282051282052,13.0,3000
Tommolo Montepulciano d'Abruzzo Organic,8990,0.23051282051282052,13.0,3000
Gato Negro Cabernet Sauvignon,569,0.23406005758946935,13.0,187
Terre del Noce Cabernet Sauvignon,2199,0.23456,12.5,750
Bouchard Aine Rouge Rubis Collection,2199,0.23456,12.5,750
French Dog Merlot,2290,0.23487179487179488,13.0,750
Piccini Chianti,2299,0.2357948717948718,13.0,750
Emporium Appassimento,2567,0.23604597701149424,14.5,750
Marques de Nombrevilla Garnacha,2390,0.2360493827160494,13.5,750
La Cova Negra Tempranillo,2390,0.2360493827160494,13.5,750
Tommasi Valpolicella,8499,0.23608333333333334,12.0,3000
Adobe Reserva Syrah,2399,0.23693827160493827,13.5,750
Adobe Reserva Carmenere,2399,0.23693827160493827,13.5,750
Adobe Reserva Merlot,2399,0.23693827160493827,13.5,750
Montalto Cabernet Sauvignon Nero d'Avola,2399,0.23693827160493827,13.5,750
Montgras de Vine Carmenere Reserva,2399,0.23693827160493827,13.5,750
Adobe Reserva Cabernet Sauvignon,2399,0.23693827160493827,13.5,750
Montalto Organic Nero d'Avola,2399,0.23693827160493827,13.5,750
Stemmari Cabernet Sauvignon,2399,0.23693827160493827,13.5,750
B Barossa Ink Shiraz,2399,0.23693827160493827,13.5,750
Adobe Reserva Pinot Noir,2399,0.23693827160493827,13.5,750
Adobe Merlot Cabernet Sauvignon Syrah,4799,0.23698765432098765,13.5,1500
Barefoot Merlot,599,0.23727470786294316,13.5,187
Zensa Primitivo,2498,0.2379047619047619,14.0,750
Piccini Memoro rautt,2499,0.238,14.0,750
Chateau La Carelle Bordeaux,7499,0.23806349206349206,14.0,2250
Amaren Selection de Vinedos,2590,0.2381609195402299,14.5,750
Corte del Golfo Lazio Rosso,2590,0.2381609195402299,14.5,750
Van Cat Areni,2554,0.24323809523809523,14.0,750
Marques del Silvo Crianza,2464,0.24335802469135803,13.5,750
Bigi Sangiovese,2470,0.24395061728395062,13.5,750
French Dog Cabernet Sauvignon,2290,0.24426666666666666,12.5,750
Gauma Tempranillo Dry Red,2290,0.24426666666666666,12.5,750
b.io Nero d'Avola Cabernet,2390,0.24512820512820513,13.0,750
Rossetti Rosso,2299,0.24522666666666668,12.5,750
Marques d'Almeida Tinto,2490,0.24592592592592594,13.5,750
Horizon de Bichot Pinot Noir,2490,0.24592592592592594,13.5,750
Liver More Zinfndl Red Wine,2490,0.24592592592592594,13.5,750
Painted Wolf The Den Pinotage,2490,0.24592592592592594,13.5,750
Viva Valentina Chianti Riserva,2398,0.24594871794871795,13.0,750
Serafini Sangiovese,2398,0.24594871794871795,13.0,750
JP. Chenet Cabernet Syrah,2399,0.24605128205128204,13.0,750
Montgras de Vine Merlot Reserva,2399,0.24605128205128204,13.0,750
Tagaro Pinataro Nero di Troia,2399,0.24605128205128204,13.0,750
Faustino VII Tempranillo,2399,0.24605128205128204,13.0,750
Finca del Mar Tempranillo Crianza,2399,0.24605128205128204,13.0,750
Riunite Lambrusco,1479,0.2465,8.0,750
Masso Antico Primitivo Single Vineyard,2590,0.24666666666666667,14.0,750
Masso Antico Primitivo,2590,0.24666666666666667,14.0,750
Casillero del Diablo Carmenere Reserva,2499,0.24681481481481482,13.5,750
Lopez de Haro Crianza,2499,0.24681481481481482,13.5,750
Yellow Tail Shiraz,2499,0.24681481481481482,13.5,750
19 Crimes,2499,0.24681481481481482,13.5,750
Beringer Cabernet Sauvignon,2499,0.24681481481481482,13.5,750
Casillero del Diablo Merlot,2499,0.24681481481481482,13.5,750
Campo Viejo Tempranillo,2499,0.24681481481481482,13.5,750
Morande Pionero Reserva Cabernet Sauvignon,2499,0.24681481481481482,13.5,750
Stemmari Rosso Riserva,2499,0.24681481481481482,13.5,750
Yellow Tail Cabernet Sauvignon,2499,0.24681481481481482,13.5,750
Fantini Sangiovese Puglia,2499,0.24681481481481482,13.5,750
Ancora Montepulciano d'Abruzzo,2499,0.24681481481481482,13.5,750
Trapiche Malbec Oak Cask,2499,0.24681481481481482,13.5,750
Piccini Collezione Oro Riserva,2499,0.24681481481481482,13.5,750
Jacob's Creek Cabernet Sauvignon,2499,0.24681481481481482,13.5,750
Finca Las Moras Cabernet Sauvignon,2499,0.24681481481481482,13.5,750
Trivento Cabernet Sauvignon Reserve,2599,0.24752380952380953,14.0,750
Faustino VII Cabernet Sauvignon,2599,0.24752380952380953,14.0,750
Vidal Fleury GSM,2599,0.24752380952380953,14.0,750
Hardys Nottage Hill Cabernet Shiraz,2599,0.24752380952380953,14.0,750
Mucho Mas Tinto,2599,0.24752380952380953,14.0,750
Montes Merlot Reserva,2699,0.248183908045977,14.5,750
Dark Horse Zinfandel,2699,0.248183908045977,14.5,750
Montes Cabernet Sauvignon Carmenere Limited Sel.,2699,0.248183908045977,14.5,750
Real Agrado Rautt,2700,0.2482758620689655,14.5,750
Big Boys Zinfandel,2799,0.2488,15.0,750
Carlo Rossi Sweet Red,2999,0.24991666666666668,8.0,1500
Viva Valentina Sangiovese,2348,0.2504533333333333,12.5,750
Freixenet Mia Fruity Full Bodied Red,2350,0.25066666666666665,12.5,750
19 Crimes The Banished Park Red,2540,0.2508641975308642,13.5,750
Castillo de Olite Crianza,2567,0.25353086419753085,13.5,750
Bell'Agio Chianti,2480,0.25435897435897437,13.0,750
Adobe Reserva Cabernet Sauvignon,1290,0.2548148148148148,13.5,375
bree merlot,829,0.2550769230769231,13.0,250
Radacini Merlot,2489,0.2552820512820513,13.0,750
Maximus Negroamoro Zinfandel Limited Edition,2490,0.2553846153846154,13.0,750
