name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Egils Gull kútur 25 lítrar,24160,0.20561702127659576,4.7,25000
Fruh Kölsch,499,0.20791666666666667,4.8,500
Tuborg Grön,309,0.2080808080808081,4.5,330
Pilsner Urquell,459,0.20863636363636365,4.4,500
Löwenbrau Original  kútur 30 lítrar,32990,0.21147435897435898,5.2,30000
Saku on Ice,349,0.21151515151515152,5.0,330
Lomza Jasne Pelne,419,0.21161616161616162,6.0,330
Bríó nr. 1 Pilsner,499,0.2123404255319149,4.7,500
Löwenbrau Oktoberfestbier kútur 30 lítrar,38990,0.2130601092896175,6.1,30000
Stella Artois kútur 30 lítrar,31990,0.21326666666666666,5.0,30000
Boli Premium kútur 25 lítrar,28430,0.21456603773584906,5.3,25000
Hoegaarden Wit-Blanche kútur 30 lítrar,30899,0.21457638888888889,4.8,30000
Erdinger Brauhaus Helles,549,0.21529411764705883,5.1,500
La Trappe Dubbel,499,0.21601731601731602,7.0,330
Egils Gull,359,0.2175757575757576,5.0,330
Carlsberg,359,0.2175757575757576,5.0,330
Thule,359,0.2175757575757576,5.0,330
Carlsberg  kútur 25 lítrar,25600,0.2178723404255319,4.7,25000
Gull Lite Premium,459,0.21857142857142858,4.2,500
Monastere Blond,470,0.2191142191142191,6.5,330
Franziskaner Hefe Weissbier kútur 30 lítrar,32999,0.21999333333333335,5.0,30000
Einstök Arctic Pale Ale,409,0.22132034632034633,5.6,330
Stella Artois,449,0.22183794466403164,4.6,440
Estrella Damm,339,0.22332015810276684,4.6,330
Budweiser Budvar,369,0.22363636363636363,5.0,330
Heineken,369,0.22363636363636363,5.0,330
Pils Polo,373,0.22606060606060607,5.0,330
Ratatöskur heslihnetu rauðöl,747,0.22636363636363635,7.5,440
Úlfur nr. 3 India Pale Ale kútur 25 lítrar,33400,0.2264406779661017,5.9,25000
Bud Light,339,0.2266042780748663,3.4,440
Bakalar,389,0.2266899766899767,5.2,330
Carlsberg Elephant,539,0.22685185185185186,7.2,330
Norðan Kaldi Öl,405,0.22727272727272724,5.4,330
Moosehead Lager,399,0.228,5.0,350
Oranjeboom Crisp,194,0.22823529411764706,3.4,250
Víking Lite kútur 30 lítrar,28100,0.22845528455284556,4.1,30000
Kaldi,377,0.22848484848484849,5.0,330
Kaldi ipa,453,0.2287878787878788,6.0,330
Föroya Jóla Bryggj,439,0.22936259143155696,5.8,330
Föroya Vár Bryggj,439,0.22936259143155696,5.8,330
Vínar Valz Lager,380,0.23030303030303031,5.0,330
Boom Ultra Lite,289,0.23046251993620415,3.8,330
Kristoffel Brune,458,0.2313131313131313,6.0,330
Kristoffel Blonde,458,0.2313131313131313,6.0,330
Franziskaner Weissbier,579,0.2316,5.0,500
Kaldi Lager kútur 30 lítrar,34778,0.23185333333333333,5.0,30000
Boli Premium,429,0.23214285714285718,5.6,330
Víking Gylltur,429,0.23214285714285718,5.6,330
Segull 67 Original,384,0.23272727272727273,5.0,330
Mahou,423,0.23305785123966943,5.5,330
Víking Lite,339,0.23347107438016526,4.4,330
The Bridge Beer,348,0.23434343434343435,4.5,330
Carlsberg Sort Guld,449,0.23458725182863113,5.8,330
Corona,349,0.235016835016835,4.5,330
Álfur Belgian Triple,599,0.23573396300669028,7.7,330
